timestamp,modelName,count
2025-09-01 00:00:00,iPhone 12,94627
2025-09-08 00:00:00,iPhone 13,203159
2025-09-08 00:00:00,iPhone 15,139222
2025-09-08 00:00:00,iPhone 16 Pro,136661
2025-09-08 00:00:00,iPhone 14,125497
2025-09-08 00:00:00,iPhone 15 Pro Max,125050
2025-09-08 00:00:00,iPhone 15 Pro,123859
2025-09-08 00:00:00,iPhone 16 Pro Max,121923
2025-09-08 00:00:00,iPhone 11,113964
2025-09-08 00:00:00,iPhone 14 Pro,98185
2025-09-08 00:00:00,iPhone 12,90835
2025-09-15 00:00:00,iPhone 13,212917
2025-09-15 00:00:00,iPhone 16 Pro,153984
2025-09-15 00:00:00,iPhone 15,150976
2025-09-15 00:00:00,iPhone 16 Pro Max,142635
2025-09-15 00:00:00,iPhone 15 Pro Max,141655
2025-09-15 00:00:00,iPhone 15 Pro,137860
2025-09-15 00:00:00,iPhone 14,133106
2025-09-15 00:00:00,iPhone 11,119392
2025-09-15 00:00:00,iPhone 14 Pro,105987
2025-09-15 00:00:00,iPhone 16,96508
2025-09-22 00:00:00,iPhone 13,200643
2025-09-22 00:00:00,iPhone 15,142020
2025-09-22 00:00:00,iPhone 16 Pro,139790
2025-09-22 00:00:00,iPhone 14,127339
2025-09-22 00:00:00,iPhone 15 Pro Max,126335
2025-09-22 00:00:00,iPhone 16 Pro Max,125146
2025-09-22 00:00:00,iPhone 15 Pro,123733
2025-09-22 00:00:00,iPhone 11,112885
2025-09-22 00:00:00,iPhone 14 Pro,97454
2025-09-22 00:00:00,iPhone 16,92953
2025-09-29 00:00:00,iPhone 13,203217
2025-09-29 00:00:00,iPhone 15,140933
2025-09-29 00:00:00,iPhone 16 Pro,140117
2025-09-29 00:00:00,iPhone 14,128036
2025-09-29 00:00:00,iPhone 15 Pro Max,124490
2025-09-29 00:00:00,iPhone 15 Pro,122134
2025-09-29 00:00:00,iPhone 16 Pro Max,121392
2025-09-29 00:00:00,iPhone 11,110825
2025-09-29 00:00:00,iPhone 14 Pro,95888
2025-09-29 00:00:00,iPhone 16,93528
2025-10-06 00:00:00,iPhone 13,198156
2025-10-06 00:00:00,iPhone 15,138939
2025-10-06 00:00:00,iPhone 16 Pro,136287
2025-10-06 00:00:00,iPhone 14,125092
2025-10-06 00:00:00,iPhone 15 Pro Max,119638
2025-10-06 00:00:00,iPhone 16 Pro Max,119096
2025-10-06 00:00:00,iPhone 15 Pro,118777
2025-10-06 00:00:00,iPhone 11,108364
2025-10-06 00:00:00,iPhone 14 Pro,92925
2025-10-06 00:00:00,iPhone 16,92703
2025-10-13 00:00:00,iPhone 13,200677
2025-10-13 00:00:00,iPhone 15,139983
2025-10-13 00:00:00,iPhone 16 Pro,136411
2025-10-13 00:00:00,iPhone 14,125954
2025-10-13 00:00:00,iPhone 15 Pro,118645
2025-10-13 00:00:00,iPhone 15 Pro Max,117591
2025-10-13 00:00:00,iPhone 16 Pro Max,117413
2025-10-13 00:00:00,iPhone 11,108691
2025-10-13 00:00:00,iPhone 16,93642
2025-10-13 00:00:00,iPhone 14 Pro,91913
2025-10-20 00:00:00,iPhone 13,200784
2025-10-20 00:00:00,iPhone 15,142360
2025-10-20 00:00:00,iPhone 16 Pro,137306
2025-10-20 00:00:00,iPhone 14,126934
2025-10-20 00:00:00,iPhone 15 Pro,119082
2025-10-20 00:00:00,iPhone 16 Pro Max,117907
2025-10-20 00:00:00,iPhone 15 Pro Max,116599
2025-10-20 00:00:00,iPhone 11,109600
2025-10-20 00:00:00,iPhone 16,96020
2025-10-20 00:00:00,iPhone 14 Pro,92007
2025-10-27 00:00:00,iPhone 13,197682
2025-10-27 00:00:00,iPhone 15,141933
2025-10-27 00:00:00,iPhone 16 Pro,136178
2025-10-27 00:00:00,iPhone 14,124911
2025-10-27 00:00:00,iPhone 16 Pro Max,117382
2025-10-27 00:00:00,iPhone 15 Pro,116927
2025-10-27 00:00:00,iPhone 15 Pro Max,114140
2025-10-27 00:00:00,iPhone 11,107694
2025-10-27 00:00:00,iPhone 16,95672
2025-10-27 00:00:00,iPhone 14 Pro,90467
2025-11-03 00:00:00,iPhone 13,199354
2025-11-03 00:00:00,iPhone 15,142546
2025-11-03 00:00:00,iPhone 16 Pro,137708
2025-11-03 00:00:00,iPhone 14,127389
2025-11-03 00:00:00,iPhone 15 Pro,118180
2025-11-03 00:00:00,iPhone 16 Pro Max,118100
2025-11-03 00:00:00,iPhone 15 Pro Max,115224
2025-11-03 00:00:00,iPhone 11,108538
2025-11-03 00:00:00,iPhone 16,98700
2025-11-03 00:00:00,iPhone 14 Pro,91199
2025-11-10 00:00:00,iPhone 13,194988
2025-11-10 00:00:00,iPhone 15,141629
2025-11-10 00:00:00,iPhone 16 Pro,133707
2025-11-10 00:00:00,iPhone 14,122834
2025-11-10 00:00:00,iPhone 15 Pro,113989
2025-11-10 00:00:00,iPhone 16 Pro Max,112716
2025-11-10 00:00:00,iPhone 15 Pro Max,111167
2025-11-10 00:00:00,iPhone 11,104037
2025-11-10 00:00:00,iPhone 16,96351
2025-11-10 00:00:00,iPhone 14 Pro,88227
2025-11-17 00:00:00,iPhone 13,192267
2025-11-17 00:00:00,iPhone 15,139100
2025-11-17 00:00:00,iPhone 16 Pro,131956
2025-11-17 00:00:00,iPhone 14,120613
2025-11-17 00:00:00,iPhone 16 Pro Max,113167
2025-11-17 00:00:00,iPhone 15 Pro,112924
2025-11-17 00:00:00,iPhone 15 Pro Max,109980
2025-11-17 00:00:00,iPhone 11,100498
2025-11-17 00:00:00,iPhone 16,95605
2025-11-17 00:00:00,iPhone 14 Pro,87240
2025-11-24 00:00:00,iPhone 13,188013
2025-11-24 00:00:00,iPhone 15,137738
2025-11-24 00:00:00,iPhone 16 Pro,129054
2025-11-24 00:00:00,iPhone 14,119214
2025-11-24 00:00:00,iPhone 15 Pro,111951
2025-11-24 00:00:00,iPhone 16 Pro Max,109377
2025-11-24 00:00:00,iPhone 15 Pro Max,107287
2025-11-24 00:00:00,iPhone 11,99736
2025-11-24 00:00:00,iPhone 16,97118
2025-11-24 00:00:00,iPhone 14 Pro,84870
2025-12-01 00:00:00,iPhone 13,192172
2025-12-01 00:00:00,iPhone 15,140573
2025-12-01 00:00:00,iPhone 16 Pro,135905
2025-12-01 00:00:00,iPhone 14,120174
2025-12-01 00:00:00,iPhone 15 Pro,114040
2025-12-01 00:00:00,iPhone 16 Pro Max,113612
2025-12-01 00:00:00,iPhone 15 Pro Max,110999
2025-12-01 00:00:00,iPhone 11,99177
2025-12-01 00:00:00,iPhone 16,98961
2025-12-01 00:00:00,iPhone 14 Pro,88029
2025-12-08 00:00:00,iPhone 13,199370
2025-12-08 00:00:00,iPhone 15,146832
2025-12-08 00:00:00,iPhone 16 Pro,139955
2025-12-08 00:00:00,iPhone 14,125973
2025-12-08 00:00:00,iPhone 15 Pro,117023
2025-12-08 00:00:00,iPhone 16 Pro Max,116568
2025-12-08 00:00:00,iPhone 15 Pro Max,112362
2025-12-08 00:00:00,iPhone 16,105513
2025-12-08 00:00:00,iPhone 11,101902
2025-12-08 00:00:00,iPhone 14 Pro,89570
